gameid,season,homeOrAway,teamSkaterStatsgoals,teamSkaterStatspim,teamSkaterStatsshots,teamSkaterStatspowerPlayPercentage,teamSkaterStatspowerPlayGoals,teamSkaterStatspowerPlayOpportunities,teamSkaterStatsfaceOffWinPercentage,teamSkaterStatsblocked,teamSkaterStatstakeaways,teamSkaterStatsgiveaways,teamSkaterStatshits,teamid
30,2018,A,7,6,34,50,1,2,50,29,11,8,23,10
30,2019,A,1,9,36,0,0,4,39,9,4,9,17,28
30,2015,H,2,2,44,0,0,1,45,17,15,12,31,28
30,2016,H,3,10,30,0,0,4,39,20,8,6,18,2
30,2017,H,1,12,25,0,0,4,51,14,7,21,29,28
30,2018,H,6,4,31,0,0,3,50,14,8,11,23,16
30,2019,H,3,13,33,0,0,2,61,14,6,8,26,24
31,2015,A,3,12,34,0,0,7,40,17,13,12,19,8
31,2016,A,6,6,24,33,2,6,52,15,1,5,14,7
31,2017,A,0,6,34,0,0,1,43,9,6,12,22,8
31,2018,A,2,25,38,50,2,4,49,14,0,8,20,17
31,2019,A,3,10,13,25,1,4,43,21,3,11,19,14
31,2015,H,1,18,21,0,0,4,60,23,10,13,32,9
31,2016,H,2,16,33,0,0,1,48,11,7,12,32,22
31,2017,H,2,2,25,0,0,3,57,17,11,23,24,3
31,2018,H,4,27,25,0,0,3,51,18,3,12,18,26
31,2019,H,4,8,44,40,2,5,57,9,17,22,17,12
32,2015,A,6,8,23,50,2,4,49,10,8,7,9,14
32,2016,A,3,4,22,50,1,2,52,12,3,9,24,12
32,2017,A,4,8,23,0,0,1,29,14,15,7,19,21
32,2018,A,3,6,31,0,0,3,57,14,9,8,17,9
32,2019,A,3,16,22,0,0,2,51,12,2,11,14,25
32,2015,H,3,8,30,75,3,4,51,9,16,5,34,6
32,2016,H,4,4,31,0,0,2,48,15,10,10,16,23
32,2017,H,0,2,29,0,0,4,71,11,8,13,22,6
32,2018,H,6,8,30,50,1,2,43,8,8,6,18,6
32,2019,H,4,4,33,13,1,8,49,9,3,17,21,17
33,2015,A,2,16,24,33,1,3,39,16,11,7,42,52
33,2016,A,4,8,31,25,1,4,43,7,5,13,17,28
33,2017,A,2,12,35,17,1,6,50,13,3,6,22,19
33,2018,A,0,8,35,0,0,4,61,9,7,7,9,28
33,2019,A,1,2,36,0,0,2,50,8,10,9,25,52
33,2015,H,4,10,44,33,2,6,61,16,18,9,30,2
33,2016,H,7,10,29,33,1,3,57,18,6,6,25,3
33,2017,H,2,12,42,0,0,6,50,13,2,14,20,2
33,2018,H,4,8,30,25,1,4,39,23,12,11,21,2
33,2019,H,4,4,33,100,1,1,50,19,7,14,24,2
34,2015,A,2,19,24,67,2,3,51,12,2,5,17,29
34,2016,A,4,12,31,33,2,6,36,13,8,3,42,21
34,2017,A,6,13,31,0,0,4,51,13,3,6,10,1
34,2018,A,2,4,37,0,0,2,65,6,3,8,29,54
34,2019,A,3,6,30,0,0,3,50,18,5,15,26,19
34,2015,H,4,11,33,43,3,7,49,7,4,14,12,7
34,2016,H,3,14,31,40,2,5,64,18,3,7,22,5
34,2017,H,2,13,25,25,1,4,49,10,1,14,24,7
34,2018,H,4,4,17,50,1,2,35,14,2,9,17,7
34,2019,H,2,8,34,0,0,2,50,9,11,15,15,10
35,2015,A,0,12,31,0,0,6,50,14,3,3,22,13
35,2016,A,1,22,32,0,0,3,51,10,6,7,21,9
35,2017,A,3,12,21,17,1,6,39,15,9,7,15,16
35,2018,A,2,6,21,0,0,2,54,12,7,15,15,17
35,2019,A,3,6,18,50,2,4,43,13,4,8,13,7
35,2015,H,1,18,33,0,0,3,50,17,7,14,31,4
35,2016,H,5,20,25,50,2,4,49,15,5,9,20,17
35,2017,H,4,14,43,17,1,6,61,12,5,17,25,10
35,2018,H,2,4,27,0,0,3,46,14,7,14,28,24
35,2019,H,4,8,44,67,2,3,57,17,11,5,15,29
36,2015,A,1,9,25,0,0,2,54,18,3,12,29,23
36,2016,A,4,10,25,0,0,4,56,15,4,14,15,6
36,2017,A,3,14,26,50,2,4,50,17,6,6,14,15
36,2018,A,8,12,48,40,2,5,41,8,5,7,15,28
36,2019,A,6,16,35,33,1,3,46,25,3,7,16,12
36,2015,H,1,9,29,0,0,2,46,16,7,12,26,24
36,2016,H,1,8,35,0,0,5,44,10,8,16,24,52
36,2017,H,4,12,40,20,1,5,50,13,9,9,18,14
36,2018,H,2,10,33,33,2,6,59,8,4,14,21,4
36,2019,H,3,10,50,33,2,6,55,10,11,14,15,13
37,2015,A,3,4,20,50,1,2,52,5,4,9,12,18
37,2016,A,1,19,24,25,1,4,52,10,1,2,19,24
37,2017,A,5,4,43,25,1,4,54,17,12,14,28,52
37,2018,A,3,6,25,50,2,4,54,16,7,8,23,23
37,2019,A,5,4,27,40,2,5,42,17,8,14,12,22
37,2015,H,1,4,23,50,1,2,49,8,3,9,13,1
37,2016,H,2,13,28,29,2,7,49,12,6,7,16,1
37,2017,H,2,8,39,0,0,2,46,17,7,15,25,22
37,2018,H,5,10,33,0,0,2,46,11,12,12,33,12
37,2019,H,2,10,27,0,0,2,58,16,7,25,19,2
38,2015,A,4,12,29,40,2,5,39,13,6,7,22,52
38,2016,A,3,4,27,0,0,1,40,13,4,6,13,28
38,2017,A,2,15,29,25,1,4,43,16,4,12,24,20
38,2018,A,2,12,27,25,1,4,47,9,3,6,7,21
38,2019,A,4,4,22,0,0,0,49,11,5,5,39,52
38,2015,H,1,12,41,0,0,5,61,12,14,15,25,3
38,2016,H,2,2,23,0,0,2,60,17,7,9,24,2
38,2017,H,0,13,43,0,0,5,57,17,7,8,25,24
38,2018,H,5,8,35,17,1,6,53,11,8,5,10,29
38,2019,H,1,0,38,0,0,2,51,7,5,12,49,5
39,2015,A,3,4,30,50,1,2,44,9,5,4,21,8
39,2016,A,0,27,18,0,0,3,47,13,5,11,26,21
39,2017,A,3,8,23,25,1,4,45,20,6,9,24,19
39,2018,A,3,8,27,50,2,4,44,14,5,4,5,20
39,2019,A,4,10,26,0,0,4,46,13,9,7,18,25
39,2015,H,2,4,33,0,0,2,56,9,5,11,32,5
39,2016,H,3,13,40,40,2,5,53,9,12,16,17,15
39,2017,H,1,8,33,25,1,4,55,10,12,16,34,3
39,2018,H,0,8,43,0,0,4,56,13,9,7,13,18
39,2019,H,3,8,32,0,0,5,54,12,7,10,19,15
40,2015,A,5,8,32,20,1,5,54,20,4,8,11,28
40,2016,A,0,14,36,0,0,8,46,10,4,10,32,5
40,2017,A,2,6,27,0,0,3,39,17,16,2,32,29
40,2018,A,1,6,17,0,0,2,36,21,5,11,22,26
40,2019,A,3,4,29,0,0,3,60,6,7,5,23,24
40,2015,H,0,10,31,0,0,4,46,12,4,17,22,15
40,2016,H,4,16,32,17,1,6,54,9,4,15,19,8
40,2017,H,1,6,38,0,0,3,61,14,10,9,20,12
40,2018,H,2,4,39,33,1,3,64,15,3,11,18,52
40,2019,H,1,6,32,0,0,2,40,15,3,12,25,17
41,2015,A,4,8,30,0,0,3,56,18,11,6,23,13
41,2016,A,4,8,35,20,1,5,50,9,8,13,20,53
41,2017,A,3,10,25,50,1,2,49,23,6,29,18,16
