Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Mark Friedman (13678922),Mark Friedman,13678922,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
D,Andy Welinski (13678930),Andy Welinski,13678930,D/UTIL,2500,PHI@NJ 11/01/2019 07:00PM ET,PHI,0
C,Johan Larsson (13678010),Johan Larsson,13678010,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,3.92
C,Nic Dowd (13678026),Nic Dowd,13678026,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,3.84
C,Curtis Lazar (13678042),Curtis Lazar,13678042,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
C,Connor McMichael (13678086),Connor McMichael,13678086,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
C,Liam O'Brien (13678088),Liam O'Brien,13678088,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
C,Shane Gersich (13678090),Shane Gersich,13678090,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
C,Michael Sgarbossa (13678092),Michael Sgarbossa,13678092,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,0
C,Rasmus Asplund (13678112),Rasmus Asplund,13678112,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
C,Dylan Cozens (13678114),Dylan Cozens,13678114,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
C,Arttu Ruotsalainen (13678116),Arttu Ruotsalainen,13678116,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
C,Jean-Sebastien Dea (13678136),Jean-Sebastien Dea,13678136,C/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
LW,Brendan Leipsic (13678408),Brendan Leipsic,13678408,W/UTIL,2500,BUF@WAS 11/01/2019 07:00PM ET,WAS,3.14
